ZN=F,ZN=F,ZN=F,ZN=F,ZN=F,ZN=F
Open,High,Low,Close,Adj Close,Volume
126.6875,126.875,126.515625,126.78125,126.78125,1777839
126.78125,127.15625,126.6875,127.125,127.125,2740779
127.109375,127.40625,127.09375,127.359375,127.359375,1485473
127.296875,127.78125,127.28125,127.65625,127.65625,234761
127.84375,128.0625,127.296875,127.515625,127.515625,237116
127.390625,127.421875,126.890625,126.953125,126.953125,116736
126.921875,127.015625,126.765625,126.890625,126.890625,82930
126.921875,127.21875,126.75,127.109375,127.109375,44798
127.234375,127.234375,126.359375,126.515625,126.515625,38300
126.453125,126.9375,126.1875,126.796875,126.796875,19376
126.734375,127.390625,126.703125,127.140625,127.140625,16224
127.09375,127.75,127.09375,127.625,127.625,19542
127.78125,127.84375,127.09375,127.359375,127.359375,41024
127.375,128.203125,127.375,127.953125,127.953125,22450
128.109375,128.21875,127.625,127.703125,127.703125,30070
127.859375,128.703125,127.84375,128.109375,128.109375,10150
128.25,128.25,127.40625,127.4375,127.4375,13188
127.421875,127.703125,126.90625,127.015625,127.015625,14518
126.9375,127.28125,126.8125,127.140625,127.140625,806138
126.6875,126.828125,126.515625,126.703125,126.703125,427537
126.71875,126.796875,125.90625,126.0,126.0,547909
125.984375,126.1875,125.65625,125.953125,125.953125,341493
125.984375,126.109375,125.921875,126.015625,126.015625,165055
126.0,126.484375,125.96875,126.390625,126.390625,434205
126.375,126.75,126.375,126.578125,126.578125,419043
126.609375,126.8125,126.5625,126.796875,126.796875,270132
126.609375,127.328125,126.40625,127.15625,127.15625,768078
127.15625,127.84375,127.046875,127.765625,127.765625,901819
127.75,129.109375,127.734375,128.359375,128.359375,1739806
128.5,128.6875,128.015625,128.46875,128.46875,1481757
128.3125,128.375,127.96875,128.109375,128.109375,941743
128.109375,128.84375,128.0625,128.578125,128.578125,1451875
128.78125,129.140625,128.53125,129.0625,129.0625,840490
129.109375,129.546875,128.84375,129.3125,129.3125,1661473
129.265625,130.234375,129.203125,129.765625,129.765625,1993923
129.59375,130.9375,129.203125,130.34375,130.34375,1876323
130.75,130.9375,129.734375,129.859375,129.859375,1609859
129.8125,130.34375,129.65625,129.859375,129.859375,1349692
129.9375,130.140625,129.28125,129.4375,129.4375,1567621
129.359375,129.84375,128.734375,129.125,129.125,1698494
129.3125,130.015625,129.21875,129.671875,129.671875,1179367
130.0,130.1875,129.375,129.5,129.5,904980
129.546875,130.171875,129.5,129.65625,129.65625,1182996
129.65625,130.625,129.5,130.46875,130.46875,1288777
130.421875,130.53125,129.90625,130.1875,130.1875,1282574
130.203125,131.171875,130.125,130.875,130.875,1719555
131.046875,131.109375,130.5625,130.921875,130.921875,1255126
130.921875,131.046875,129.890625,130.0625,130.0625,1369366
129.96875,130.484375,129.578125,130.0,130.0,1547015
130.4375,130.625,129.65625,129.859375,129.859375,1196206
129.796875,130.359375,128.46875,128.71875,128.71875,1812969
128.609375,129.109375,128.34375,128.609375,128.609375,1127292
128.4375,128.5625,128.125,128.359375,128.359375,1261813
128.375,128.59375,128.0,128.359375,128.359375,1116608
128.15625,128.59375,127.859375,128.421875,128.421875,1486245
128.4375,128.5,128.046875,128.234375,128.234375,917149
128.046875,128.4375,127.140625,127.25,127.25,1652053
127.359375,128.25,127.0625,128.015625,128.015625,1627163
127.96875,128.25,127.5,127.59375,127.59375,1230599
127.546875,128.234375,127.3125,127.40625,127.40625,1547608
127.5,128.046875,127.421875,128.015625,128.015625,1380103
128.03125,128.78125,127.578125,128.6875,128.6875,2471425
128.703125,128.890625,128.515625,128.71875,128.71875,2019821
128.703125,129.03125,128.09375,128.28125,128.28125,1442286
128.234375,128.484375,128.015625,128.421875,128.421875,354793
128.40625,128.5,127.6875,127.765625,127.765625,169818
127.8125,127.859375,127.4375,127.46875,127.46875,62209
127.515625,127.75,127.390625,127.5625,127.5625,61727
127.640625,127.828125,127.390625,127.71875,127.71875,74462
127.6875,128.171875,126.625,126.75,126.75,38763
126.734375,127.15625,126.671875,127.09375,127.09375,49660
127.109375,127.703125,127.015625,127.5625,127.5625,29938
127.609375,127.71875,127.265625,127.609375,127.609375,11722
127.609375,128.265625,127.5625,127.828125,127.828125,15933
127.609375,128.0,127.4375,127.765625,127.765625,6145
127.8125,128.140625,127.78125,127.84375,127.84375,11409
127.984375,128.28125,127.984375,128.109375,128.109375,15806
128.1875,129.453125,128.15625,129.15625,129.15625,25911
129.359375,129.546875,128.71875,128.8125,128.8125,21403
128.84375,129.265625,128.84375,129.21875,129.21875,795754
128.6875,128.9375,128.609375,128.84375,128.84375,745365
128.875,129.21875,128.75,129.09375,129.09375,975935
129.15625,129.390625,128.6875,128.8125,128.8125,1008392
128.71875,129.0625,128.171875,128.234375,128.234375,1334016
128.390625,128.703125,128.25,128.6875,128.6875,949736
128.546875,128.765625,128.4375,128.59375,128.59375,820966
128.71875,128.984375,128.5625,128.90625,128.90625,1085543
128.90625,129.515625,128.75,129.375,129.375,1138578
129.421875,129.71875,129.078125,129.171875,129.171875,871522
129.90625,130.03125,129.34375,129.421875,129.421875,517342
129.4375,129.5,129.125,129.359375,129.359375,806436
129.390625,129.546875,129.109375,129.359375,129.359375,900228
129.25,129.53125,128.75,128.84375,128.84375,1015818
128.828125,129.09375,128.75,128.8125,128.8125,816500
128.84375,129.09375,128.578125,128.984375,128.984375,774585
129.09375,129.703125,129.046875,129.3125,129.3125,1168721
129.34375,129.625,129.25,129.4375,129.4375,762083
129.5,129.75,129.265625,129.6875,129.6875,1169425
129.578125,129.96875,129.390625,129.8125,129.8125,1177145
129.59375,129.796875,129.4375,129.53125,129.53125,789143
129.53125,129.71875,129.3125,129.359375,129.359375,707522
129.40625,129.53125,128.703125,128.859375,128.859375,1175589
128.828125,129.203125,128.734375,129.140625,129.140625,1211509
129.0625,129.46875,128.90625,129.390625,129.390625,1065745
129.421875,129.578125,129.125,129.3125,129.3125,697063
129.359375,129.40625,128.703125,128.953125,128.953125,1126038
128.734375,128.90625,128.09375,128.515625,128.515625,2026714
128.5,128.640625,127.8125,128.375,128.375,1973329
128.453125,128.453125,127.734375,127.78125,127.78125,890606
127.875,128.078125,127.59375,127.765625,127.765625,880995
127.71875,127.96875,127.25,127.421875,127.421875,1502848
127.390625,127.484375,126.90625,127.09375,127.09375,1614071
126.984375,127.515625,126.421875,127.390625,127.390625,1888100
127.328125,128.203125,127.234375,127.828125,127.828125,1678106
127.796875,128.0,126.796875,126.890625,126.890625,1329172
126.8125,127.21875,126.203125,127.046875,127.046875,2099725
127.078125,127.671875,126.875,126.984375,126.984375,1945440
126.921875,127.5,126.84375,127.390625,127.390625,1485118
127.40625,128.140625,127.40625,128.03125,128.03125,1212825
127.96875,128.09375,127.265625,127.375,127.375,1040118
127.296875,127.765625,126.765625,127.03125,127.03125,1691402
126.875,127.4375,126.859375,127.265625,127.265625,1271848
127.265625,127.734375,127.171875,127.71875,127.71875,1331658
127.703125,127.90625,127.125,127.28125,127.28125,1282818
127.53125,127.953125,127.328125,127.90625,127.90625,2478344
127.890625,127.953125,127.578125,127.890625,127.890625,2737708
127.90625,128.109375,127.8125,128.03125,128.03125,1868428
127.96875,128.328125,127.9375,128.3125,128.3125,389444
128.140625,128.296875,127.515625,127.5625,127.5625,166148
127.6875,127.6875,126.90625,127.0,127.0,146453
127.03125,127.09375,126.125,126.25,126.25,95403
126.28125,126.8125,125.78125,126.703125,126.703125,66131
126.6875,126.6875,125.53125,125.9375,125.9375,37382
125.875,126.25,125.828125,126.140625,126.140625,25038
126.109375,126.328125,125.609375,125.90625,125.90625,12206
125.734375,125.78125,125.359375,125.484375,125.484375,18886
125.5625,126.15625,125.3125,126.140625,126.140625,15557
126.21875,126.46875,125.90625,126.09375,126.09375,31831
126.25,126.5625,126.234375,126.359375,126.359375,10053
126.421875,126.703125,126.359375,126.640625,126.640625,15513
126.71875,126.9375,126.109375,126.90625,126.90625,15092
127.1875,127.21875,126.46875,126.640625,126.640625,8719
127.0,127.5,126.875,127.265625,127.265625,957045
126.4375,126.484375,125.6875,125.828125,125.828125,1067060
125.734375,125.796875,125.28125,125.453125,125.453125,1203581
125.453125,125.78125,125.328125,125.734375,125.734375,1151466
125.734375,125.8125,125.28125,125.578125,125.578125,1268814
125.484375,125.625,124.90625,125.015625,125.015625,1076844
126.3125,126.90625,125.59375,126.203125,126.203125,1693467
126.21875,126.390625,125.8125,126.171875,126.171875,1707670
125.96875,126.03125,125.28125,125.46875,125.46875,1261615
125.46875,126.109375,125.15625,125.875,125.875,1206973
127.0,127.203125,126.234375,126.765625,126.765625,1386777
126.640625,127.5625,126.46875,127.125,127.125,1535790
126.890625,127.59375,126.859375,127.375,127.375,1475469
127.4375,127.5625,126.5,126.671875,126.671875,1170991
126.515625,126.53125,125.6875,125.734375,125.734375,1316196
126.375,126.375,125.3125,125.59375,125.59375,1158434
125.46875,126.03125,125.421875,125.9375,125.9375,928621
125.96875,126.390625,125.609375,126.34375,126.34375,1039936
126.25,126.3125,125.859375,126.171875,126.171875,896853
126.140625,126.3125,125.890625,126.125,126.125,758364
126.125,126.15625,125.703125,125.890625,125.890625,769583
125.921875,126.296875,125.6875,126.203125,126.203125,827090
126.265625,126.484375,126.15625,126.3125,126.3125,847959
126.28125,126.6875,126.125,126.609375,126.609375,955338
126.59375,126.875,126.546875,126.71875,126.71875,873572
126.78125,127.28125,126.765625,127.15625,127.15625,794985
127.21875,127.234375,126.8125,127.0,127.0,851800
126.921875,126.984375,126.625,126.8125,126.8125,829278
126.734375,126.90625,126.34375,126.84375,126.84375,1231278
126.859375,127.625,126.640625,127.4375,127.4375,1419755
127.578125,127.921875,127.359375,127.828125,127.828125,974279
127.796875,127.875,127.078125,127.265625,127.265625,1020055
127.109375,127.234375,126.546875,126.75,126.75,1288439
126.75,127.140625,126.65625,127.015625,127.015625,834807
127.0625,127.5625,126.8125,127.453125,127.453125,1165732
127.5,127.515625,126.953125,127.015625,127.015625,673537
127.09375,128.078125,127.03125,127.859375,127.859375,1253972
127.828125,128.6875,127.703125,127.96875,127.96875,1579174
127.859375,128.21875,127.40625,127.484375,127.484375,1288228
127.46875,127.6875,127.1875,127.359375,127.359375,743346
127.390625,127.828125,127.328125,127.765625,127.765625,667866
127.609375,127.90625,127.375,127.453125,127.453125,744608
127.4375,128.234375,127.125,128.09375,128.09375,1320397
128.0625,128.484375,128.03125,128.328125,128.328125,1086808
128.46875,128.875,128.34375,128.671875,128.671875,1307004
128.84375,129.890625,128.734375,129.203125,129.203125,2440534
129.015625,129.125,128.015625,128.0625,128.0625,2400441
128.5625,128.8125,127.78125,127.9375,127.9375,2825932
127.90625,128.171875,127.5625,127.953125,127.953125,2336303
127.84375,128.34375,127.671875,127.78125,127.78125,1152751
127.515625,128.171875,127.40625,127.640625,127.640625,262060
127.515625,128.3125,127.46875,127.875,127.875,156708
128.0,128.109375,127.65625,127.734375,127.734375,78672
127.75,128.125,127.734375,127.953125,127.953125,72459
128.0,128.5625,127.953125,128.296875,128.296875,54582
128.234375,128.25,127.796875,127.828125,127.828125,46623
127.796875,128.015625,127.359375,128.0,128.0,36330
128.0,128.046875,127.59375,127.734375,127.734375,8805
127.71875,128.15625,127.6875,128.109375,128.109375,7495
127.984375,128.265625,127.984375,128.125,128.125,550448
127.546875,127.703125,126.578125,126.703125,126.703125,1005405
126.703125,126.875,126.515625,126.515625,126.515625,1032271
126.578125,127.53125,126.53125,127.296875,127.296875,1186497
127.453125,128.015625,127.4375,127.96875,127.96875,1103335
127.90625,127.90625,127.328125,127.375,127.375,762809
127.40625,128.1875,127.390625,128.109375,128.109375,947065
128.046875,128.34375,127.78125,127.96875,127.96875,914624
127.90625,128.46875,127.8125,128.125,128.125,1269777
127.875,127.984375,127.4375,127.84375,127.84375,1202302
127.890625,128.453125,127.828125,128.4375,128.4375,1018454
128.40625,128.890625,128.265625,128.8125,128.8125,1357240
128.78125,128.921875,128.34375,128.734375,128.734375,1276596
128.875,129.03125,128.578125,128.75,128.75,1262564
128.796875,130.015625,128.59375,129.34375,129.34375,1920484
129.296875,129.46875,128.78125,128.828125,128.828125,898156
128.828125,129.09375,128.6875,129.03125,129.03125,1058115
129.0625,129.125,128.609375,128.8125,128.8125,987294
128.71875,129.0625,128.359375,128.46875,128.46875,1181806
128.515625,128.71875,128.171875,128.484375,128.484375,955703
128.5625,128.8125,128.4375,128.765625,128.765625,154259
128.78125,128.984375,128.625,128.859375,128.859375,823755
128.9375,129.625,128.90625,129.546875,129.546875,1215022
129.59375,129.625,129.078125,129.125,129.125,1079901
129.125,129.296875,128.9375,129.03125,129.03125,776692
128.953125,129.125,128.71875,128.96875,128.96875,885046
128.984375,129.0625,128.484375,128.5625,128.5625,1041644
128.5625,129.0,128.53125,128.875,128.875,846532
128.921875,129.09375,128.671875,128.9375,128.9375,1107265
128.890625,128.921875,128.28125,128.421875,128.421875,1255428
128.40625,128.671875,128.328125,128.59375,128.59375,743734
128.609375,129.078125,128.5625,128.921875,128.921875,943946
128.859375,128.90625,128.109375,128.203125,128.203125,1285733
128.140625,128.265625,127.546875,127.609375,127.609375,1568986
127.625,127.828125,127.453125,127.6875,127.6875,1471261
127.765625,127.828125,127.34375,127.375,127.375,983049
127.5,127.515625,127.046875,127.109375,127.109375,923018
127.15625,127.28125,126.796875,126.921875,126.921875,1373910
126.953125,127.0625,126.671875,126.828125,126.828125,1287589
126.9375,127.0,125.875,126.046875,126.046875,1844567
126.125,126.140625,125.703125,126.03125,126.03125,1310407
125.984375,126.359375,125.953125,126.296875,126.296875,1127084
126.125,126.234375,126.03125,126.0625,126.0625,231599
126.125,126.375,126.015625,126.203125,126.203125,1114026
126.234375,126.65625,126.140625,126.53125,126.53125,1050601
126.9375,126.9375,126.625,126.671875,126.671875,965992
126.65625,126.84375,126.3125,126.734375,126.734375,1085777
126.6875,126.78125,126.421875,126.65625,126.65625,901423
126.609375,126.890625,126.546875,126.78125,126.78125,1016791
126.734375,126.953125,126.640625,126.671875,126.671875,955504
126.640625,126.890625,126.375,126.8125,126.8125,1717050
126.859375,127.1875,126.765625,126.90625,126.90625,2364395
126.921875,127.078125,126.8125,126.984375,126.984375,1608815
126.921875,127.234375,126.921875,127.078125,127.078125,509241
127.078125,127.15625,126.875,127.015625,127.015625,258723
127.078125,127.625,126.828125,127.515625,127.515625,99019
127.546875,127.5625,127.09375,127.296875,127.296875,58676
127.234375,127.296875,125.984375,126.1875,126.1875,86929
126.3125,126.65625,125.9375,126.546875,126.546875,58276
126.5,127.0625,126.4375,126.9375,126.9375,30109
126.875,127.15625,126.796875,126.921875,126.921875,20552
126.96875,127.328125,126.703125,127.25,127.25,17511
127.1875,127.25,126.9375,126.953125,126.953125,28202
126.921875,127.875,126.921875,127.71875,127.71875,14980
127.671875,127.75,127.0,127.03125,127.03125,10810
127.109375,127.1875,126.53125,126.71875,126.71875,14284
126.75,126.75,126.078125,126.390625,126.390625,15482
126.453125,126.890625,126.453125,126.75,126.75,4014
126.875,127.234375,126.84375,127.125,127.125,12647
127.0,127.265625,126.953125,127.15625,127.15625,569737
126.515625,126.65625,126.15625,126.171875,126.171875,517333
126.234375,126.234375,125.890625,126.0,126.0,475286
126.046875,126.1875,125.953125,126.171875,126.171875,180131
126.09375,126.40625,126.015625,126.265625,126.265625,327705
126.25,126.328125,125.546875,125.65625,125.65625,620234
125.6875,125.796875,125.4375,125.609375,125.609375,706089
125.703125,125.984375,125.625,125.90625,125.90625,459340
125.875,126.5625,125.765625,126.15625,126.15625,1118698
126.15625,126.4375,126.015625,126.25,126.25,950146
126.3125,126.921875,126.234375,126.859375,126.859375,1164824
126.84375,127.3125,126.671875,127.109375,127.109375,1450669
127.140625,127.5625,126.578125,127.40625,127.40625,1657147
127.53125,127.71875,127.0625,127.359375,127.359375,1173756
127.203125,128.0,126.984375,127.828125,127.828125,1465533
127.734375,128.265625,127.421875,128.0625,128.0625,1702895
127.84375,128.21875,127.625,127.828125,127.828125,1549100
127.890625,128.90625,127.8125,128.453125,128.453125,1912986
128.5,128.59375,128.015625,128.390625,128.390625,1569573
128.265625,129.25,128.25,128.875,128.875,1996094
128.859375,129.171875,128.5,128.671875,128.671875,1841733
128.5625,128.734375,128.078125,128.375,128.375,1248529
128.3125,128.703125,128.21875,128.546875,128.546875,864678
128.6875,129.078125,128.5,128.8125,128.8125,1088050
128.78125,128.9375,128.3125,128.859375,128.859375,1150788
128.875,129.09375,128.53125,129.03125,129.03125,1641268
129.0625,129.6875,128.96875,129.578125,129.578125,1692523
129.59375,129.796875,129.15625,129.171875,129.171875,1229545
129.28125,130.21875,129.265625,130.09375,130.09375,1420462
130.1875,130.75,129.8125,130.015625,130.015625,1998839
130.0,130.453125,129.84375,130.265625,130.265625,1708898
130.4375,130.6875,129.921875,130.359375,130.359375,1837286
130.34375,131.3125,130.171875,131.296875,131.296875,1675081
131.1875,131.75,131.015625,131.3125,131.3125,1993045
131.28125,131.765625,130.90625,131.5,131.5,1781823
131.75,133.046875,131.671875,132.03125,132.03125,2468876
131.84375,132.0,130.953125,131.0625,131.0625,1727313
130.984375,131.15625,130.625,130.90625,130.90625,1581160
130.953125,131.203125,130.1875,130.4375,130.4375,1483319
130.4375,131.109375,130.3125,130.921875,130.921875,1335348
131.09375,131.28125,130.640625,130.90625,130.90625,1320422
130.859375,130.9375,130.5625,130.78125,130.78125,1253494
130.859375,131.171875,130.359375,130.9375,130.9375,2434982
131.125,131.796875,130.890625,131.0,131.0,2558613
130.9375,131.59375,130.84375,131.453125,131.453125,2256835
131.25,131.265625,130.578125,130.75,130.75,1277718
130.78125,131.0,130.65625,130.90625,130.90625,264215
130.953125,131.21875,129.984375,130.0,130.0,154089
130.0,130.171875,129.59375,129.75,129.75,94725
129.828125,130.046875,129.625,129.921875,129.921875,24369
129.828125,130.046875,129.34375,129.5,129.5,46711
129.578125,129.578125,129.265625,129.34375,129.34375,44401
129.375,130.09375,129.375,129.921875,129.921875,17757
130.0,130.0,129.4375,129.484375,129.484375,10596
129.46875,129.78125,128.9375,129.0625,129.0625,11515
129.0625,129.140625,128.65625,128.796875,128.796875,7750
128.828125,129.046875,128.71875,128.875,128.875,5896
128.84375,129.234375,128.765625,128.859375,128.859375,18635
128.84375,129.515625,128.515625,129.296875,129.296875,18235
129.53125,129.921875,129.5,129.5625,129.5625,6409
129.625,129.921875,129.625,129.859375,129.859375,11426
129.890625,129.90625,129.515625,129.546875,129.546875,780943
129.015625,129.375,128.703125,128.796875,128.796875,1050855
128.734375,129.359375,128.640625,129.328125,129.328125,886490
129.265625,129.46875,128.96875,129.21875,129.21875,749240
129.15625,129.46875,128.96875,129.40625,129.40625,427322
129.28125,130.09375,129.203125,130.0,130.0,1047652
130.03125,130.109375,129.703125,130.015625,130.015625,1123696
130.046875,130.53125,129.953125,130.390625,130.390625,1138040
130.484375,130.5,130.0625,130.296875,130.296875,1275666
130.46875,130.640625,130.3125,130.46875,130.46875,739937
130.59375,130.96875,130.5625,130.828125,130.828125,996733
130.859375,130.90625,130.515625,130.6875,130.6875,944334
130.671875,131.296875,130.578125,131.25,131.25,1016410
131.234375,131.265625,130.84375,131.03125,131.03125,783757
131.078125,131.21875,130.765625,131.03125,131.03125,806162
130.984375,131.03125,130.5,130.546875,130.546875,977573
130.53125,130.71875,130.359375,130.625,130.625,1073434
130.609375,130.703125,130.203125,130.375,130.375,1076080
130.296875,130.734375,130.203125,130.640625,130.640625,819010
130.859375,130.890625,130.375,130.5,130.5,899723
130.5,130.5,130.203125,130.359375,130.359375,1017239
130.328125,130.59375,129.703125,129.75,129.75,1292098
129.8125,129.90625,129.453125,129.609375,129.609375,1397890
129.6875,129.78125,129.359375,129.46875,129.46875,1012534
129.515625,129.703125,129.28125,129.375,129.375,943310
129.296875,129.484375,129.0625,129.171875,129.171875,1058861
129.171875,129.875,129.15625,129.78125,129.78125,1143464
129.859375,130.171875,129.65625,129.953125,129.953125,1477696
130.046875,130.1875,129.65625,130.0625,130.0625,1496779
129.921875,130.15625,129.625,129.703125,129.703125,890234
129.640625,130.46875,129.640625,130.296875,130.296875,1321886
130.3125,130.546875,130.15625,130.4375,130.4375,1118669
130.5,130.875,130.25,130.734375,130.734375,1192171
130.75,131.203125,130.453125,130.53125,130.53125,1515455
130.53125,130.890625,130.4375,130.796875,130.796875,875121
130.875,130.90625,130.625,130.78125,130.78125,992388
130.75,131.09375,130.65625,130.90625,130.90625,1105210
130.875,130.953125,130.515625,130.59375,130.59375,1190000
130.59375,130.984375,130.546875,130.96875,130.96875,1278254
131.03125,131.109375,130.484375,130.515625,130.515625,906695
130.515625,130.625,130.28125,130.40625,130.40625,1127611
130.296875,130.375,129.328125,129.375,129.375,1932669
129.546875,129.78125,129.3125,129.671875,129.671875,1641077
129.640625,129.796875,129.5,129.703125,129.703125,896676
129.71875,129.9375,129.609375,129.75,129.75,1025035
129.78125,129.890625,129.390625,129.5625,129.5625,1721686
129.53125,129.609375,129.328125,129.46875,129.46875,1980645
129.46875,129.90625,129.4375,129.890625,129.890625,1737088
129.828125,129.90625,129.46875,129.796875,129.796875,939608
129.5,129.796875,129.296875,129.796875,129.796875,377106
129.65625,130.015625,129.59375,129.640625,129.640625,139871
129.671875,130.03125,129.640625,129.921875,129.921875,122717
129.9375,131.015625,129.875,130.953125,130.953125,70085
131.0,131.0,130.640625,130.859375,130.859375,40491
130.78125,131.03125,130.671875,130.9375,130.9375,35285
130.921875,131.046875,130.859375,130.890625,130.890625,9256
130.921875,131.25,130.890625,131.078125,131.078125,13583
131.046875,131.53125,131.046875,131.453125,131.453125,14408
131.59375,131.78125,131.484375,131.6875,131.6875,16567
131.71875,132.125,131.625,131.71875,131.71875,36549
131.671875,132.140625,131.515625,131.984375,131.984375,26636
132.15625,132.546875,131.984375,132.15625,132.15625,9065
132.078125,132.078125,131.75,131.765625,131.765625,13688
131.390625,131.53125,131.140625,131.390625,131.390625,17324
131.421875,131.484375,131.28125,131.34375,131.34375,981927
131.203125,131.421875,131.15625,131.34375,131.34375,916892
131.28125,131.28125,130.734375,130.8125,130.8125,1096165
130.703125,134.21875,130.671875,132.375,132.375,3126839
132.75,133.46875,132.703125,133.28125,133.28125,1316532
133.4375,133.5625,133.03125,133.25,133.25,1136545
133.1875,133.3125,132.6875,133.0625,133.0625,1098012
132.703125,133.234375,132.4375,132.984375,132.984375,1943875
133.03125,133.921875,132.984375,133.078125,133.078125,1346226
133.296875,133.984375,133.0,133.890625,133.890625,1121073
133.84375,134.234375,133.578125,133.671875,133.671875,1433749
133.84375,133.9375,133.34375,133.6875,133.6875,1171819
133.6875,134.015625,133.046875,133.796875,133.796875,1455703
133.859375,133.890625,133.140625,133.15625,133.15625,932748
133.15625,133.25,132.359375,132.515625,132.515625,1431378
132.484375,132.9375,132.46875,132.828125,132.828125,1201572
132.734375,132.90625,132.1875,132.390625,132.390625,1366292
132.34375,132.515625,131.78125,131.875,131.875,1236322
131.9375,132.25,131.734375,132.03125,132.03125,854813
132.046875,132.40625,132.0,132.234375,132.234375,887408
132.296875,132.328125,131.859375,131.984375,131.984375,838211
131.96875,132.34375,131.609375,132.234375,132.234375,1282566
132.296875,132.515625,131.90625,132.125,132.125,993882
132.125,132.265625,131.890625,132.0625,132.0625,732638
132.03125,132.34375,131.859375,132.125,132.125,1023027
132.140625,132.671875,131.828125,132.546875,132.546875,1171110
132.640625,132.75,132.34375,132.5625,132.5625,1109267
132.65625,133.140625,132.109375,133.046875,133.046875,1584235
133.125,133.125,132.5625,132.796875,132.796875,1025550
132.59375,132.71875,132.203125,132.546875,132.546875,1420550
132.40625,132.640625,132.265625,132.578125,132.578125,1022489
132.578125,133.09375,132.453125,132.953125,132.953125,1115628
133.015625,133.0625,132.046875,132.140625,132.140625,1315208
132.046875,132.203125,131.796875,132.046875,132.046875,978792
131.984375,132.421875,131.921875,132.34375,132.34375,924123
132.3125,132.78125,132.3125,132.734375,132.734375,1027376
132.703125,132.78125,132.0,132.046875,132.046875,1001879
132.09375,132.90625,132.03125,132.53125,132.53125,1188034
132.546875,132.703125,132.171875,132.25,132.25,779593
132.21875,132.640625,131.875,132.0,132.0,1459939
132.0,132.390625,131.828125,132.109375,132.109375,1112006
